Content,Comments,Number of Comments
"Üniversitemiz tarafından düzenlenen, T.C. Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğü tarafından desteklenen, sinema sektöründen duayen isimlerin katıldığı sinema söyleşilerinin yer aldığı değerli hocamız Doç. Dr. Nagihan Çakar’ın direktörlüğünde gerçekleşen 2. TAYF Uluslararası Kısa Film Festivali’mizin galasında 4 kategoride 12 ödül sahiplerini buldu. Gençlerin kendilerini ispat etmelerine olanak tanıyan, kendi hikayesini ortaya koyan ve bu süreci destekleyen değerli katılımcılarımıza sonsuz teşekkür ederiz.🙏 @sinemagenelmd @tckulturturizm @tayffilm @nagihanncakar",,0
"Üniversitemiz tarafından düzenlenen 2. TAYF Uluslararası Kısa Film Festivali, 24-27 Nisan tarihleri arasında NeoTech Campus’te gerçekleşti. 125 ülkeden toplamda 3221 filmin başvurduğu festivalin kazanan filmleri ödüllerine kavuştu. Kültür Bakanlığı nın da desteklediği TAYF Uluslararası Kısa Film Festivali’nin direktörlüğünü değerli hocamız Doç. Dr. Nagihan Çakar üstlenirken, birçok değerli isim üniversitemizde gerçekleşeden gala ve ödül gecesine katıldı. Değerli katılımları ve katkılarından dolayı çok teşekkür ederiz. 🙏 #TayfUluslararasıKısaFilmFestivali @sinemagenelmd @tckulturturizm @tayffilmfest",,0
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 30 Mayıs https://lnkd.in/dE9bMN68,,0
"Üniversitemiz İktisadi İdari ve Sosyal Bilimler Fakültesi tarafından yürütülmekte olan ve Bilimsel Projeler Koordinasyon Birimi tarafından desteklenen ‘Güçlü Kadınlar Yollarda’ Projesi’nin açılış toplantısı 4 Mayıs 2023 Perşembe günü okulumuzda, saat 10.00-12.00 saatleri arasında Senato Odası’nda gerçekleştirilecektir. Güçlü Kadınlar Yollarda Projesi, küresel ölçekte artan işsizliğin ve yoksulluğun önlenmesinde kritik rol oynayan kooperatiflerin kapasitelerinin kent ölçeğinde güçlendirilmesine destek olmayı amaçlamaktadır. #GüçlüKadınlarYollardaProjesi",,0
"T.C. Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğü’nün katkılarıyla, üniversitemiz tarafından düzenlenen, Tayf Uluslararası Kısa Film Festivali’nin ilk gününden görüntüler. 🎬📷 Festivalimize katılım sağlayan değerli konuklarımıza çok teşekkür ederiz.🙏 👉 Festivalimiz 4 gün boyunca NeoTech Campus’te gerçekleşecektir. #tayfkısafilmfestivali #nisantasiuniversity",,0
"""Küçük hanımlar, küçük beyler... Sizler hepiniz, geleceğin bir gülü, yıldızı, bir bahtının aydınlığısınız"" 🎈 -Mustafa Kemal Atatürk #23NisanUlusalEgemenlikveÇocukBayramıKutluOlsun",,0
"Birlik, beraberlik ve huzur dolu nice bayramları hep birlikte geçirmek dileğiyle #RamazanBayramınızKutluOlsun İyi bayramlar 🍬🌸",,0
"Romanya’nın Bükreş şehrinde düzenlenen yıllık Erasmus Generation Meeting’de üniversitemizi temsil eden ve Dünya’da ilk defa tüm ödül kategorilerinde aday gösterilen İstanbul Nişantaşı Üniversitesi Erasmus Network ekibi, ‘Safety Awards’ kategorisinde ödül almaya hak kazanmıştır. Öğrencilerimizi ve ekibimizi tebrik ederiz. #nisantasiunıversıty #network #safety #awards",,0
⚠️ Duyuru / Announcement #sanalcampus,,0
📣 #nisantasiuniversity,,0
📣 #nisantasiuniversity,,0
"Üniversitemizin PİO Pazarlama İletişimi Okulu Direktörü Prof. Dr. Gresi Sanje, Harvard Business Review Türkiye’nin Müşteri Deneyimi Zirvesi’nde konuştu.",,0
GELECEĞİN ENERJİ MERKEZİ TÜRKİYE İstanbul Nişantaşı Üniversitesi ev sahipliğinde düzenlenecek olan panel 27 Mart 2023 Pazartesi günü NeoTech Campus’te gerçekleşecek. Youtube’da saat 13.00’da canlı yayın olacaktır. youtube.com/Harici Harici,,0
"Başta Ulu Önderimiz Mustafa Kemal Atatürk olmak üzere Çanakkale’yi geçilmez kılan tüm şehitlerimizi ve gazilerimizi saygıyla, minnetle ve rahmetle anıyoruz. 18 Mart Çanakkale Zaferimizin 108. Yılı kutlu olsun! 🇹🇷 #çanakkalegeçilmez",,0
31. Ulusal Yönetim ve Organizasyon Kongresi 21-23 Eylül 2023 tarihlerinde NeoTech Campus’te! 👉https://lnkd.in/gTCkQK4Z #UlusalYönetimveOrganizasyonKongresi #NeoTechCampus,,0
"Sağlık hizmetlerinin ülkemizde en üst seviyeye çıkarılmasında başrol olan öğrencilerimiz başta olmak üzere tüm sağlık personellerinin Tıp Bayramlarını kutlar, nice başarılara imza atacakları sağlıklı bir yaşam dileriz. #14marttıpbayramı #istanbulnisantasiuniversity #kutluolsun",,0
Afet Psikolojik Destek Platformu’ndan destek almak için ziyaret et. 👉 afetpsikolojikdestek.com,,0
"Üniversitemizin Mühendislik Mimarlık Fakültesi ile İktisadi, İdari ve Sosyal Bilimler Fakültesi tarafından gerçekleştirilecek olan I. Uluslararası Enerji Kongresi’nde ‘’Enerjinin Teknoloji, Ekonomi ve Sosyal Boyutlarının Toplum Refahı’’ üzerine etkisi analiz edilecek ve teknolojik değişimin yarattığı fırsatlar ortaya konulacaktır. Kongre online olarak gerçekleştirilecektir. 👩‍💻energycon.international #istanbulnisantasiuniversity #uluslararasıenerjikongresi",,0
Üniversitemiz İnsansız Hava Aracı Yetkili Eğitim Kuruluşu Oldu! SHGM tarafından İHA 0 ve İHA 1 kategorilerinde yetkili eğitim kuruluşu olarak kabul edildik. #istanbulnisantasiuniversity,,0
Uçak Bakım ve Onarım bölümü ve Havacılık Elektrik ve Elektroniği bölümü öğrencilerimiz ile Türk Hava Yolları Teknik A.Ş gezisi gerçekleştirdik. Öğrencilerimize teknik işlemleri yerinde görme fırsatı sağladıkları için Türk Hava Yolları Teknik A.Ş’ye teşekkür ederiz. #thyteknik,,0
"2023 YKS BAŞVURULARI BAŞLADI! 👉Başvurular, 8-23 Mart tarihleri arasında yapılacaktır.",,0
#8MartDünyaKadınlarGünüKutluOlsun,,0
Announcement 📣,,0
Duyuru 📣,,0
"Değerli öğrencilerimiz, KPSS-DGS kurslarımız sanal kampüs üzerinden devam edecektir. Sanal kampüs ile derslere erişebilmek için: sanalkampus@nisantasi.edu.tr Adresimize başvurabilirsiniz.",,0
"#deprem Hatay’da meydana gelen ve çevre illerde de hissedilen depremde can kaybı olmamasını temenni ediyor, tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz. #GeçmişolsunTürkiye #Hatay",,0
"TOÇEV- Tüvana Okuma İstekli Çocuk Eğitim Vakfı, Proje ve Eğitim Sorumlusu Bedriye Saka “Üniversitelerde Sosyal Hizmetler, Psikoloji ve PDR Bölümü gönüllü öğrencilerinin staj imkanlarının deprem bölgelerinde görmesi sağlanmalıdır. Yardımlarımızı sürdürülebilir bir şekilde sağlamalıyız.”",,0
Afet Sonrası Güç Birliği Çalıştayı’na İhtiyaç Haritası Çalışması ile başladık.,,0
Afet Sonrası Güç Birliği Çalıştayı Tema: Kadın ve Çocuk Afet sonrası gerçekleştirilecek çalışmalarda öncelik alanlarınız neler? sorusunu yanıtlıyoruz.,,0
Announcement 📣 Çeviriyi gör,,0
Duyuru 📣,,0
İstanbul Nişantaşı Üniversitesi olarak depremzede vatandaşlara psikolojik destek vermek amacıyla “Online Psikolojik Destek Hattı” kurduk. Bilgi ve Randevu için: ✉️ psikolojikdanismanlik@nisantasi.edu.tr 📞 +90 (212) 210 10 10 #HepYanındayız,,0
Nişantaşı Eğitim Vakfı (NEV) Başkanımızın mesajı;,,0
Nişantaşı Eğitim Vakfı kurucusu Dr. Levent Uysal 18.00’de Gülbin Tosun ile Fox Ana Haber’de.,,0
Announcement! 📣 Çeviriyi gör,,0
Duyuru! 📣,,0
Psikoloji Bölümü 4. sınıf öğrencimiz Koray Koçak vefat etmiştir. Kendisine Allah’tan rahmet ailesine ve yakınlarına başsağlığı dileriz.,"Allah rahmet eylesin,Allah rahmet eylesin,Allah rahmet eylesin, ailesine ve sevdiklerine sabırlar diliyorum .💐,Allah rahmet etsin,Mekanı cennet olsun, Allah sevenlerine sabır ve güç versin.",7
Diyaliz Bölümü mezunumuz Yıldız Çağan’ı kaybetmenin derin üzüntüsü içerisindeyiz. Öğrencimize Allah’tan rahmet; başta kederli ailesi olmak üzere tüm sevenlerine başsağlığı dileriz.,"Allah rahmet eylesin.,Allah rahmet etsin.",2
Mimarlık Bölümü mezunumuz Burak Malkar’ı kaybetmenin derin üzüntüsü içerisindeyiz. Öğrencimize Allah’tan rahmet; başta kederli ailesi olmak üzere tüm sevenlerine başsağlığı dileriz.,"Allah rahmet eylesin ailesine sabirlar versin,Allah rahmet etsin.",2
"2022-2023 akademik yılı güz dönemi Bütünleme, İngilizce Hazırlık ve TÖMER sınavları, YÖK Başkanlığı’nın eğitim ve öğretim faaliyetlerini ertelemesine bağlı olarak ileri bir tarihte yapılacaktır. *** Relying on the postponement of educational facilities by the Council of Higher Education ( YÖK), 2022-2023 Academic Year Fall Semestre Resit, English Proficiency and TOMER exams will be carried out at a later date.","Türkiye nin deprem kuşağında olduğu dusunuldugunde   deprem olan bu bölgelerdeki bilime aykırı ve kitabına uydurulmuş yapılaşmanın müsaade edilmesi idarenin ve ülke yöneticilerinin hukuk karşısındaki ağır bir kusuru olarak görünmektedir. "" Binalar sağlam dahi olsa yikilacakti "" gibi mesnetsiz onguruler   deprem gerçeğini bilerek   sıvılaşmaya açık bir araziye bina yaptirilmasi ve buna müsaade edilmesi   inşaat ruhsatlarının verilmesi idarenin ağır kusurudur . Bununla ilgili yasal tutuklamaların ve yargılamaların olacağı şüphesizdir. Deprem olacaktır   ancak bu felaketi hafif atlatacak zeminde ve uygun inşaat yöntemleri ile az katlı binalar yapılmaz ise   bu felaketler sürekli yaşanacaktır. Bütün bunlar   Hukuk   Adalet   Bilimin ciddiye alındığı   Kanun düzenine harfiyen riayet edildiği ve Ekonomik istikrarın olduğu ülkeler için geçerlidir. Bunlar yoksa bu felaketlerin daha fazlasıda olacaktır.",1
"Sizlerin desteğiyle hazırlanan yardım kolileri, üniversitemiz Sağlık Bölümü öğrencileri ve akademisyenleri, afet bölgelerine ulaşmak için yola çıktı. Süreçte desteklerini esirgemeyen Nişantaşı Eğitim Vakfı, öğrencilerimiz, akademisyenlerimiz ve personelimize teşekkürlerimizi sunarız. #afad #yanınızdayız","Mezun olduğum okulumla gurur duyuyorum İstanbul Nişantaşı Üniversitesi 💪🏼♥️,Türkiye nin deprem kuşağında olduğu dusunuldugunde deprem olan bu bölgelerdeki bilime aykırı ve kitabına uydurulmuş yapılaşmanın müsaade edilmesi idarenin ve ülke yöneticilerinin hukuk karşısındaki ağır bir kusuru olarak görünmektedir. "" Binalar sağlam dahi olsa yikilacakti "" gibi mesnetsiz onguruler   deprem gerçeğini bilerek   sıvılaşmaya açık bir araziye bina yaptirilmasi ve buna müsaade edilmesi   inşaat ruhsatlarının verilmesi idarenin ağır kusurudur . Bununla ilgili yasal tutuklamaların ve yargılamaların olacağı şüphesizdir. Deprem olacaktır   ancak bu felaketi hafif atlatacak zeminde ve uygun inşaat yöntemleri ile az katlı binalar yapılmaz ise   bu felaketler sürekli yaşanacaktır. Bütün bunlar   Hukuk   Adalet   Bilimin ciddiye alındığı   Kanun düzenine harfiyen riayet edildiği ve Ekonomik istikrarın olduğu ülkeler için geçerlidir. Bunlar yoksa bu felaketlerin daha fazlasıda olacaktır.,👏👏👏,İşte benim okulum.. 👏🏻😏 İstanbul Nişantaşı Üniversitesi,🙏🙏🙏🇹🇷❤️",5
Yaralarımızı hep birlikte sarıyoruz! Tüm gün boyunca yardımlarınızı bekliyoruz. 👉Maslak Ağaoğlu 1453 sitesi İstanbul Nişantaşı Üniversitesi G3 Otoparkına getirebilirsiniz. 👉05342345610 numarasından ulaşabilirsiniz. Bebek Maması Bebek Bezi Elektrik Malzemesi Piknik Tüpü Işıldak Powerbank Şarj Aleti Uzatma Kablosu Soba Küçük Jeneratör,"Birligin ve Dayanismanin gostergesi olan çabalarinizi Takdir ederek;Emegi gecenlerin tümünün ellerinize saglik.,cale Celik evet bayaa uzun zaman oldu. Gorustugumuzde arayi kapatiriz.. zaman göreceli bir kavram.,İyiki varsınız 😇",3
We need your support in order to overcome the hard days and help the casualty recover soon.,,0
"Bu acı günleri atlatabilmek, yaraları sarabilmek için desteklerinizi bekliyoruz. #gecmisolsuntürkiye",,0
"Kahramanmaraş ve çevre illerde meydana gelen depremde hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, yaralı vatandaşlarımıza acil şifalar dileriz. #Deprem sonrası dikkat edilmesi gereken kritik noktalar ⚠️ #gecmisolsunturkiye #AFAD",,0
"Kanserle mücadelede her birimiz fark yaratabilir, toplumlarda kansere ilişkin farkındalığın artmasına katkı sağlayabiliriz. 4 Şubat Dünya Kanser Günü nde herkesi “kansersiz bir dünya” için mücadele etmeye davet ediyoruz. #4şubatdünyakansergünü",,0
"T.C Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğünün katkılarıyla, İstanbul Nişantaşı Üniversitesi tarafından 6-9 Mart 2023 tarihleri arasında gerçekleştirilecek olan TAYF Uluslararası Kısa Film Festivali’nin finalistleri açıklandı. 👉TAYF Uluslararası Kısa Film Festivali için son 34 gün! 🎬 #tayfkısafilmfestivali",,0
Sınav not itirazları ile ilgili sıkça sorduğunuz soruları cevapladık 📝 ❔,,0
"VII. IERFM Kongresi, “Cumhuriyetin 100. yılında Türkiye Ekonomisi: Gelenekselden Dijitale” temasıyla 27-28 ve 29 Nisan tarihlerinde İlklerin Şehri Eskişehir’de…",,0
2022 yılı ücreti ile kayıt yenilemek için son 7 gün! 👉Detaylı bilgiye nisantasi.edu.tr üzerinden ulaşabilirsin. #nisantasiuniversity #kayıtyenilemedönemibasladı,,0
"MYO Moda Tasarımı bölümü ile NeoTech Campus’te ‘’Görsel Mağazacılık ve Vitrin Tasarımı Öğrenci Sergisi’’ gerçekleştirdik. Öğrenci tasarımlarının yer aldığı sergide, akademisyenler ve öğrenciler tasarımları inceledi, tasarım sahiplerinden sergi hakkında bilgi aldı. #myomodatasarımı",,0
Erken kayıt ödemelerinde vade farksız taksit seçenekleri! 👇 Detaylı bilgi için nisantasi.edu.tr’yi ziyaret et.,,0
2022-2023 Ders Yılı Ara Tatili Lise Öğrencilerine Yönelik Kış Akademisi 📖 👉Detaylı bilgi için neovationcenter.com’u ziyaret et,,0
"Değerli öğrencilerimiz, sınav dönemi nedeniyle çalışma saatlerimiz güncellenmiştir. ⚠️",,0
Sağlık Kültür ve Spor Daire Başkanlığının düzenlemiş olduğu NİSHCUP 22 6v6 Voleybol Turnuvasına katılan 20 takım arasında Kar Fırtınası şampiyon olmuştur. 🏆 Beş gün süren müsabakalar sonucunda bugün yapılan final karşılaşması Kar Fırtınası ve Avengers arasında gerçekleşmiştir. Turnuvaya katılan tüm öğrencilerimize ve takımlara teşekkür ederiz.,,0
"MYO Moda Tasarımı bölümü ile NeoTech Campus’te ‘’Karma Öğrenci Çizimleri Sergisi’’ gerçekleştirdik. Öğrenci çizimlerinin yer aldığı sergide, akademisyenler ve öğrenciler eserleri inceledi, eser sahiplerinden çalışmalar hakkında bilgi aldı.","Öğrencilerimizi ve hocalarımızı emek yoğun çalışmalarından dolayı tebrik ederiz. Bahar Yıldız Melike MENDİ İstanbul Nişantaşı Üniversitesi,Teşekkürler Gül hocam 😊,Gül Hocam teşekkür ederiz.",3
"11 Ocak Çarşamba günü saat 19.05’te Çetin Ünsalan’ın hazırlayıp sunduğu İşte Bunu Konuşalım programında TAYF Uluslararası Kısa Film Festivali Direktörü ve İstanbul Nişantaşı Üniversitesi Sanat ve Tasarım Fakültesi Dekan Yardımcısı Doç. Dr. Nagihan Çakar ile genç sinemacıları keşfetmek amacıyla düzenlenen kısa film yarışmasını, festivali, sektörün durumunu, ülke marka değerine katacağı değeri, eğitim ve saha durumunu ele alıyoruz. @cetinunsalan @endustriradyo",,0
%80’e varan burs imkanları ile Yatay Geçiş başvuruları başladı. 👉Detaylı bilgiye nisantasi.edu.tr üzerinden ulaşabilirsin.,,0
Karanlığa beyaz baston ile meydan oku! #BeyazBastonGörmeEngellilerHaftası,,0
Türkiye’de devlet ve vakıf olmak üzere tüm üniversiteler arasında yatay geçişte 2 yıldır üst üste en çok tercih edilen üniversiteyiz. 👉Yatay geçiş ile ilgili detaylı bilgi almak için nisantasi.edu.tr ‘ yi ziyaret et! #nisantasiuniversity #biliyormusun #yataygecis,,0
NeoTech Campüs’te bugün Mutlusan Electric Genel Müdür İcra Kurulu Başkanı Hakan Öztürk’ü ağırladık. Değerli kariyer konuşması için kendisine çok teşekkür ederiz. Mutlusan Elektrik,,0
"May the new year bring you peace, joy and happiness! 🎄 ✨ #2023",Happy and Healthy New Year to all Nisantasi Family,1
"Öğrenci Dekanlığı Erasmus Plus Kulübü ve Genç MÜSİAD iş birliğiyle gerçekleştirileştirdiğimiz, Globalleşen Markalar ve Avrupa Fırsatları Zirvesi’nde NeoTech Campus’te birbirinden değerli konuklarımızı ağırladık. Değerli konuşmacılara ve emeği geçen öğrencilerimize teşekkür ederiz. #erasmusplus #gencmusiad #globalleşenmarkalarveavrupafırsatlarızirvesi",,0
"📌 #AvrupanınZirvesi Başvuruları Başladı! Nişantaşı Üniversitesi Erasmus Plus Kulübü ve Genç MÜSİAD iş birliğiyle gerçekleştirilecek, Globalleşen Markalar ve Avrupa Fırsatları Zirvesi 29 Aralık’ta Neotech Kampüs’te 📣 İki ayrı oturum ve interaktif atölye çalışmalarıyla gerçekleşecek olan zirvede katılımcılarımız; 📍Avrupa Fırsatlarını öğrenecek, 🇪🇺 📍Global Markaların yetkin temsilcilerinin tecrübelerinden yararlanacak, 🌐 📍Staj fırsatı elde edebilecek, 🎖️ 📍İnteraktif Atölyeler ile alanında uzman eğitmenlerden sertifikalı eğitimler alma şansı elde edecekler. 🧾 📌 Başvuru formuna @nisantasierasmusplus hesabından ulaşabilirsiniz.",,0
"50 Sanatçının 70 NFT eserinin sergilendiği zirvede, birbirinden değerli konuklarla Dijital Gelecek Zirvesi ve NFT Sergisi sunumu gerçekleştirdik. #nftzirvesi #nisantasiedu #nft #dijitalgelecekzirvesi",NEV yukseliyor👍,1
2022 Yılı Ücreti İle Kayıt Yenileme Dönemi Başladı! 👉Son tarih 30 Ocak 👉Detaylı bilgiye nisantasi.edu.tr üzerinden ulaşabilirsin. #nisantasiuniversity #kayıtyenilemedönemibasladı,,0
Kariyerin için yüksek düşün! 2022-2023 Bahar Dönemi Yüksek Lisans ve Doktora Başvuruları Başladı. 👉Detaylı bilgiye https://lnkd.in/dVGmz_PF üzerinden ulaşabilirsin. #nisantasiuniversity #kariyeriniçinyüksekdüşün #yükseklisans #doktora,,0
"BM Türkiye ve ortakları Sürdürülebilir Kalkınma Amaçlarına ulaşılması için çalışıyor. Sürdürülebilir Kalkınma Amaçları yoksulluğun sona erdirilmesi, çevrenin korunması, iklim krizine karşı önlem alınması, refahın adil paylaşımı ve barışı hedefliyor. Birbiri ile bağlantılı 17 iddialı amaç Türkiye dahil tüm Dünya da insanların karşı karşıya kaldığı ana sorunların çözümünü hedefliyor. BM Türkiye’de de bu amaçlara 2030 yılına kadar erişilmesi için desteğini sürdürüyor. Bu amaçlara ulaşılabilmesi için herkesin bilgilenmesi gerekiyor. Biz de İstanbul Nişantaşı Üniversitesi olarak bu hedeflerin yaygınlaşması ve toplumun bilinçlenmesi amacıyla hedeflerin film çekimini gerçekleştiriyoruz. UN Turkey and its partners are working on achieving the Sustainable Development Goals. The Sustainable Development Goals aim to cease the poverty, protect the environment, take measures against the climate crisis, fair share of wealth and peace. 17 interconnected ambitious goals aim to solve the main problems faced by people all over the world, including Turkey. The UN continues its support in Turkey to achieve these goals by 2030. In order to achieve these goals, everyone needs to be informed. We, as İstanbul Nisantasi University, are filming the targets in order to spread these targets and raise the awareness of the society. Yönetmen / Director: Nagihan Çakar Görüntü Yönetmeni / Director of Photography: Doğuş Öztürk Kurgu / Editing: Doğuş Öztürk Kamera / Camera: Emre Güler Koordinatör / Coordinator: Sevda Demirkol Yönetmen Yardımcısı / Assistant Director: Melike Ahsen Fıçıcı Çeviri / Translate: Aylin Aydın Dış Ses / Voiceover: Kaan Kıran #İstanbulNişantaşıÜniversitesi",,0
7-13 Eylül tarihleri arasında ek tercihlerde üniversite adaylarına destek olmak için NeoTech Campus e bekliyoruz. #MaviDiploma ile hayata yetişmek için hadi gel! #İstanbulNişantaşıÜniversitesi Web sitesine ulaşmak için https://lnkd.in/dwbJEvJg tıklayınız.,,0
Tıp Fakültesi Kurucu Dekanı Prof. Dr. Soner ŞAHİN ’in “Bioprinting The Human” ve “Autommunity And Cancer” isimli 2 kitabı Nova yayınlarıi tarafından yayımlanmıştır. Hocamızı tebrik eder başarılarının devamını dileriz. #İstanbulNişantaşıÜniversitesi,"Başarılar hocam,Tebrikler hocam. Elinize kaleminize sağlık.",2
Pazarlama İletişimi Okulu yeni öğrencilerini bekliyor.,,0
"Nişantaşı Üniversitesi ve Nişantaşı Eğitim Vakfı Kurucusu Sayın Dr. Levent Uysal, DB Schenker Arkas CEO’u Sayın Özgür Al ve İK Direktörü Sayın Taner Yağbasan’a öğrencilerimizin staj dönemlerinde verdiği destek ve Üniversitemize yaptıkları ziyaretten dolayı teşekkür etti. #İstanbulNişantaşıÜniversitesi",,0
Nişantaşı Eğitim Vakfı Kurucumuz Dr. Levent Uysal ve Tıp Fakültesi Kurucu Dekanı Prof. Dr. Soner ŞAHİN FOX TV de Çalar Saat programına konuk oldu. Haberi izlemek için: https://lnkd.in/db-APBRc tıklayınız. #İstanbulNişantaşıÜniversitesi,,0
