Content,Comments,Number of Comments
Üniversitemiz İktisadi İdari ve Sosyal Bilimler Fakültesi tarafından yürütülmekte olan ve Bilimsel Projeler Koordinasyon Birimi tarafından desteklenen +++.,,0
"‘Güçlü Kadınlar Yollarda Projesi’ 4 Mayıs 2023 Perşembe günü okulumuzda, saat 10.00-12.00 saatleri arasında Senato Odası’nda gerçekleştirilecektir. ",,0
"""Küçük hanımlar, küçük beyler... Sizler hepiniz, geleceğin bir gülü, yıldızı, bir bahtının aydınlığısınız"" 🎈 -Mustafa Kemal Atatürk",,0
"Birlik, beraberlik ve huzur dolu nice bayramları hep birlikte geçirmek dileğiyle #RamazanBayramınızKutluOlsun İyi bayramlar 🍬🌸",,0
"Romanya’nın Bükreş şehrinde düzenlenen yıllık Erasmus Generation Meeting’de üniversitemizi temsil eden ve Dünya’da ilk defa tüm ödül kategorilerinde aday gösterilen İstanbul Nişantaşı Üniversitesi Erasmus Network ekibi, ‘Safety Awards’ kategorisinde ödül almaya hak kazanmıştır. +",,0
Öğrencilerimizi ve ekibimizi tebrik ederiz.,,0
⚠️ Duyuru / Announcement,,0
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 1 Nisan-30 Mayıs,İSG Önlisans Uygulaması Çıkmış Duydunuzmu!!!,1
📣,,0
📣,İSG Önlisans Uygulaması Çıkmış Duydunuzmu!!!,1
GELECEĞİN ENERJİ MERKEZİ TÜRKİYE İstanbul Nişantaşı Üniversitesi ev sahipliğinde düzenlenecek olan panel 27 Mart 2023 Pazartesi günü NeoTech Campus’te gerçekleşecek. Youtube’da saat 13.00’da canlı yayın olacaktır. http://youtube.com/Harici,"Bor u ve Toryumu değerlendirmeyi başaralım da dünyaya kabul ettirerek pazarlamasında harikaşar yaratalımda daha sonra çin li ruslu ve daha bilmem hangili ""işbirliğinden doğabilecek"" enerji merkezi amaçlarımızın geleceğini tartışalım bence bu daha iyi bir bakış açısıdır!",1
Avantajlı Kayıt Yenileme Son Fırsat!  👉1 Nisan-30 Mayıs https://nisantasi.edu.tr/duyuru/erken-kayit-duyurusu-hk-957787,,0
İstanbul Nişantaşı Üniversitesi’nin yeni kitabı yayımlandı. 👉Kehanet Denklemi,,0
Dünyaya kattığınız +1 değer için teşekkür ederiz.,,0
18 Mart 1915’te bir destan yazan tüm kahramanlarımızı minnet ve rahmetle anıyoruz.,,0
"Başta Ulu Önderimiz Mustafa Kemal Atatürk olmak üzere Çanakkale’yi geçilmez kılan tüm şehitlerimizi ve gazilerimizi saygıyla, minnetle ve rahmetle anıyoruz. 18 Mart Çanakkale Zaferimizin 108. Yılı kutlu olsun! 🇹🇷",,0
31. Ulusal Yönetim ve Organizasyon Kongresi 21-23 Eylül 2023 tarihlerinde NeoTech Campus’te! 👉http://yonorg2023.nisantasi.edu.tr,,0
"Sağlık hizmetlerinin ülkemizde en üst seviyeye çıkarılmasında başrol olan öğrencilerimiz başta olmak üzere tüm sağlık personellerinin Tıp Bayramlarını kutlar, nice başarılara imza atacakları sağlıklı bir yaşam dileriz.",,0
Afet Psikolojik Destek Platformu’ndan destek almak için ziyaret et. 👉 http://afetpsikolojikdestek.com,,0
"Üniversitemizin Mühendislik Mimarlık Fakültesi ile İktisadi, İdari ve Sosyal Bilimler Fakültesi tarafından gerçekleştirilecek olan I. Uluslararası Enerji Kongresi online olarak yapılacaktır. 👩‍💻http://energycon.international",,0
Üniversitemiz İnsansız Hava Aracı Yetkili Eğitim Kuruluşu Oldu! SHGM tarafından İHA 0 ve İHA 1 kategorilerinde yetkili eğitim kuruluşu olarak kabul edildik.,,0
Uçak Bakım ve Onarım bölümü ve Havacılık Elektrik ve Elektroniği bölümü öğrencilerimiz ile Türk Hava Yolları Teknik A.Ş gezisi gerçekleştirdik. Öğrencilerimize teknik işlemleri yerinde görme fırsatı sağladıkları için Türk Hava Yolları Teknik A.Ş’ye teşekkür ederiz.,,0
"2023 YKS BAŞVURULARI BAŞLADI! 👉Başvurular, 8-23 Mart tarihleri arasında yapılacaktır.",,0
#8MartDunyaEmekciKadinlarGunu,,0
Announcement 📣,,0
Duyuru 📣,,0
#yesilayhaftası,Apply nişantaşı burs programı iptalmi edildi,1
#yanınızdayız #hepbirlikteatlatacağız,,0
📢📢📢 Online sınavlar hakkında önemli duyuru. https://nisantasi.edu.tr/duyuru/online-sinavlar-hakkinda-genel-bilgilendirme-492779 Important announcement about online exams. https://nisantasi.edu.tr/duyuru/general-information-about-the-online-exams-202914?dil=eng,,0
"#deprem Malatya’nın Yeşilyurt ilçesinde meydana gelen deprem sonrasında vefat eden vatandaşlarımıza Allah’tan rahmet, yaralılarımıza acil şifalar diliyoruz.",,0
GÜZ DÖNEMİ BÜTÜNLEME SINAVLARI HAKKINDA ÖNEMLİ DUYURU! 📣📣📣,"Teşekkürler. Doğru karar, Hayırlı olsun.., #teşekkürlernisantasiedu, Teşekkürler, Teşekkür ederiz, Sagolasin",6
Important Announcement About The 2022-2023 Spring Semester 📢 https://nisantasi.edu.tr/duyuru/about-20222023-academic-year-spring-semester-126701?dil=eng,"#nisantasibuetlerionlineistiyo, #nisantasibütlerionlineistiyor, #NisantasiButleriOnlineistiyor, #NisantasiButleriOnlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibütlerionlineistiyor, #NisantasiButleriOnlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibütlerionlineistiyor, #nisantasıbuetlerionlineistiyor, #NisantasiButleriOnlineistiyor @, Dünden beri sesimizi duyurmaya çalışıyoruz!! Okulun asla açıklaması yok öğrenciler mağdur ediliyor lütfen sesimizi duyun!! 1 günde Online sınav kararından vazgeçmek nedir?? Herkes evine döndü, depremzede arkadaşlarımız var. Ek sınav istemiyoruz!#nişantaşıbütlerionlineistiyor, Lütfen sesimizi duyun! Online olarak yapılacak olan Bütünleme sınavlarımızı bir gün kala karar değiştirerek yüzyüze yaptılar. Hocalar öğrencilerle dalga geçerek ek sınava gelirsiniz diyor. Depremzede arkadaşlarımız var!  #nisantasibütlerionlineistiyor @LeventUysalNEV, YÖK ü arayıp bilgi alıyoruz  ısrarla Bütünleme sınavlarının tamamen üniversitesinin inisiyatifine bağlı olduğunusınav kararlarına karışamayacaklarını belirttiler öğrencilerinizin aklıyla dalga geçmeyin, herşeyin ne olduğu apaçık ortada #nisantasibuetlerionlineistiyo",20
Bütünleme Sınavları ile İlgili Önemli Duyuru 📢 https://nisantasi.edu.tr/duyuru/butunleme-sinavlari-ile-ilgili-onemli-duyuru-116706Important Announcement about Make-Up Exams 📢 https://nisantasi.edu.tr/duyuru/important-announcement-about-makeup-exams-739151?dil=eng,"Son kararınız mı? “Yükseköğretim Kurulu’nun 17 Şubat 2023 tarihli açıklamaları çerçevesinde sınavların online yapılamayacağına karar verilmiştir.” yazmışsınız ama diğer üniversiteler nasıl online yapıyor? Onları mı yök’e şikayet edelim? #nisantasibütlerionlineistiyor, Önceki tweet i gelen tepkiler üzerine silip tekrar atmışsınız.Yine söylüyorum yaptığınız iş iş değil insanları mağdur ediyorsunuz, Deprem bölgesinde madur olan öğrenciler var evlerine giremezken nasıl yüz yüze sinava gelsinler, Diğer Özel Üniversiteler Bütünleme Sınavlarını Online Şekilde Yaparken öğrencilerin mağduriyetini düşünüp sınavı yüzyüze şeklinde çevirmeniz cidden komik. Deprem bölgesinde madur olan arkadaşlarımız var evlerine giremezken nasıl yüz yüze sınava gelsinler??, #nisantasıbuetlerionlineistiyor, #nisantasibütlerionlineistiyor, #nisantasibutlerionlineistiyor, Lütfen sesimizi duyun! Online olarak yapılacak olan Bütünleme sınavlarımızı bir gün kala karar değiştirerek yüzyüze yaptılar. Hocalar öğrencilerle dalga geçerek ek sınava gelirsiniz diyor. Depremzede arkadaşlarımız var!  #nisantasibütlerionlineistiyor @LeventUysalNEV, Ağzımıza sıçtınız gerçekten yeter artık, #nisantasibütlerionlineistiyor, #nisantasıbuetlerionlineistiyor, Gerçekten değer verilseydi bizlere diğer üniversiteler gibi düşünülüp karar öyle alınabilirdi fakat bize değer verilmediğini çok açık gösterdiniz sınav düşünemiyorlar durumda olanlara tekrardan çok değerli hissettirdiniz öğrenciliği teşekkürler  @NisantasiEdu, #nisantasıonlinebuetuenlemeistiyor, Önceki tweti niye kaldırdınız.Yani bize cevabınız böyle mi olucaktı, İnsanların mağduriyetliğini düşünüp daha çok mağdur ettiniz. Bütlerin yüzyüze değil online yapılmasını istiyoruz. Acilen geri adım atılmalı, #nisantasıbuetlerionlineistiyor, #nisantasıonlinebuetuenlemeistiyor @LeventUysalNEV, #nisantasibütlerionlineistiyor, #nisantasibuetlerionlineistiyo  Sınavların online olmasını istiyoruz!...., Online olsun istiyoruz, #nisantasibütlerionlineistiyor, Bütünleme sınavlarının online olmasını istiyoruz gerçekten yeter #nisantasıonlinebuetuenlemeistiyor, #nisantasibütlerionlineistiyor, #nisantasıbütlerionlineistiyor, #nisantasibuetlerionlineistiyo, #nisantasibütlerionlineistiyor, #nisantasıbütlerionlineistiyor, Karar değişmediyse önceki gönderiyi neden kaldırdınız?, Dünki gelen tepkilerden sonra bu gönderinin silinip yeniden atılması peki yazıl cidden  gram değer vermiyorsunuz bizlere, #nisantasıbütlerionlineistiyoe, Yeter artık yaramiza tuz basmayın Istanbul da kalacak yerimiz bile kalmadı maddiyati düşünmeyip hareket ederseniz seviniriz. ONLİNE istiyoruz bütünleme sınavları ni, #nisantasibuetlerionlineistiyo, #nisantasibuetlerionlineistiyo @LeventUysalN, Diğer vakıf üniversitelerin tümü online yaparken “öğrencilerin mağduriyetini” düşünüp sınavı yüzyüze şeklinde çevirmeniz trajikomik. Karar en kısa sürede değişmeli, öğrenciler daha fazla mağdur edilmemeli. @LeventUysalNEV @NisantasiEdu @SenayYalcin1 @YuksekogretimK @erolozvar, #nisantasıbuetlerionlineistiyor, @NisantasiEdu #nisantasıbuetlerionlineistiyor, YÖK online karar almış hâlâ sınavları yüzyüze yapmaya çalışıyorsunuz  #nisantasıonlinebuetuenlemeistiyor, Yök kararını bahane ederek öğrencilerinizi mağdur etmenin amacı nedir? Diğer üniversiteler online yapabiliyorken biz neden yapamıyoruz yök sadece bize mi engel koyuyor?, Öğrencilerin mağduriyetini ne olcak tweti silip silip tekrardan atıyorsunuz resmen öğrencilerle alay ediyorsunuz, Okulumuzdan eğitim yerine ticaret hane olduğunu resmen gösterdiğiniz için tekrardan teşekkürler, Dalagamı gecıyosunuz kardeşim bi online olucak  yok bi yüz yüze olucak 1 hafta içinde kaç kere karar değiştirdiniz insanlar nasıl hareket edeceğini şaşırdı 28 şubat - 4 mart arası giremeyenler ileri bir tarihte giricek yazıyosunuz ileri tarihte zaten dönem başlayacak..?, Bi Ali Koç Bi Siz yemin ederim biri transfer yapmaz birisi 1 haftada kaç tane karar değiştirir şu olaylar bi bitsin inşallah 🤲, Lütfen sesimizi duyun! Online olarak yapılacak olan Bütünleme sınavlarımızı bir gün kala karar değiştirerek yüzyüze yaptılar. Hocalar öğrencilerle dalga geçerek ek sınava gelirsiniz diyor. Depremzede arkadaşlarımız var!  #nisantasibütlerionlineistiyo, Lütfen sesimizi duyun! Online olarak yapılacak olan Bütünleme sınavlarımızı bir gün kala karar değiştirerek yüzyüze yaptılar. Hocalar öğrencilerle dalga geçerek ek sınava gelirsiniz diyor. Depremzede arkadaşlarımız var!  #nisantasibütlerionlineistiyor @LeventUysalNEV, Lütfen sesimizi duyun! Online olarak yapılacak olan Bütünleme sınavlarımızı bir gün kala karar değiştirerek yüzyüze yaptılar. Hocalar öğrencilerle dalga geçerek ek sınava gelirsiniz diyor. Depremzede arkadaşlarımız var!  #nisantasibütlerionlineistiyor, Sizin ben derdinizi sikeyim ya",48
ÖNEMLİ DUYURU 📢 https://nisantasi.edu.tr/duyuru/20222023-akademik-yili-bahar-donemi-hakkinda-369384,Lütfen sesimizi duyun! Online olarak yapılacak olan Bütünleme sınavlarımızı bir gün kala karar değiştirerek yüzyüze yaptılar. Hocalar öğrencilerle dalga geçerek ek sınava gelirsiniz diyor. Depremzede arkadaşlarımız var!  #nisantasibütlerionlineistiyor @LeventUysalNEV,1
"Değerli öğrencilerimiz, KPSS-DGS kurslarımız sanal kampüs üzerinden devam edecektir. Sanal kampüs ile derslere erişebilmek için: sanalkampus@nisantasi.edu.tr Adresimize başvurabilirsiniz.",Mezun durumda olan öğrenciler de  kurslara baş vura biliyorlar mı?,1
"#deprem Hatay’da meydana gelen ve çevre illerde de hissedilen depremde can kaybı olmamasını temenni ediyor, tüm vatandaşlarımıza geçmiş olsun dileklerimizi iletiyoruz. ",#nisantasibütlerionlineistiyor,1
"TOÇEV- Tüvana Okuma İstekli Çocuk Eğitim Vakfı, Proje ve Eğitim Sorumlusu Bedriye Saka “Üniversitelerde Sosyal Hizmetler, Psikoloji ve PDR gönüllü öğrencilerinin staj imkanlarının deprem bölgelerinde görmesi sağlanmalıdır. Yardımlarımızı sürdürülebilir bir şekilde sağlamalıyız.”",#nisantasıbuetlerionlineistiyor,1
Afet Sonrası Güç Birliği Çalıştayı’na İhtiyaç Haritası Çalışması ile başladık.,,0
Afet Sonrası Güç Birliği Çalıştayı Tema: Kadın ve Çocuk Afet sonrası gerçekleştirilecek çalışmalarda öncelik alanlarınız neler? sorusunu yanıtlıyoruz.,#nisantasibütlerionlineistiyor,1
Duyuru // Announcement 📣,#nisantasibütlerionlineistiyor,1
İstanbul Nişantaşı Üniversitesi olarak depremzede vatandaşlara psikolojik destek vermek amacıyla “Online Psikolojik Destek Hattı” kurduk. Bilgi ve Randevu için: ✉️ psikolojikdanismanlik@nisantasi.edu.tr 📞 +90 (212) 210 10 10,,0
Nişantaşı Eğitim Vakfı kurucusu Dr. Levent Uysal 18.00’de Gülbin Tosun ile Fox Ana Haber’de.,,0
Announcement! 📣,,0
Duyuru! 📣,"@ProfDrHamzaAl @sakaryauni aynı kararları bekliyoruz, Keşke tüm üniversiteler sizin gibi düşünse Böyle bi imkan sunduğunuz için çok teşekkür ederiz,  kaliteli üniversitenin hali bir başka oluyor #uzaktan, Bütünleme ve sınavlar lütfen online olsun hibrit eğitim kararında gösterilen hassasiyetin aynısını bütünleme ve sınavların online olması için bekliyoruz lütfen bizleri duyun hocam @NisantasiEdu @LeventUysalNEV @erolozvar ",4
Psikoloji Bölümü 4. sınıf öğrencimiz Koray Koçak vefat etmiştir. Kendisine Allah’tan rahmet ailesine ve yakınlarına başsağlığı dileriz.,Mekanı cennet olsun😔🙏,1
İstanbul Nişantaşı Üniversitesi olarak 10 ilimizde depremden dolayı eğitime devam edemeyecek üniversite öğrencileri için kapılarımızı açtık. Ülkemizde depremden etkilenmeyen tüm üniversitelerin aynı hassasiyetle yaklaşmasını ve eğitime ara vermeden devam etmesini diliyoruz.,"Kıymetli başkanım ve Ahmet hocam; Bu çaresizliğimizde sizlerin önceliğimize odaklanarak vakit kaybetmeden yaralarımızı sarmak için başlattığınız bu proje tüm takdirlerin üstünde diğer eğitim kurumlarına da örnek olacak nitelikte. ALLAH sizin gibi büyüklerimizin sayısını artırsın., Bütünleme ve sınavlar online olsun lütfen hocam biz öğrencileri duyun lütfen sınavlarda online olsun, İşte bu yüzden nişantaşı👏🏻👏🏻👏🏻, İyi ki Nişantaşılıyım👏🏻, #okullaracilsin #uzaktan, 🙏🏻🙏🏻🙏🏻👏🏻👏🏻👏🏻, İyi ki Nişantaşı ailesindeyim öğrenciliğimden beri tanıdığım ilk andan itibaren ""ÖNCE İNSAN"" dediğiniz için iyi ki.. 🙏  @LeventUysalNEV @ahmethoca78, Teşekkürler hocam 🇹🇷, Nihayet makul ve dogru bir ses. Tesekkurler sahiden🙏👍, Sayın Dr. Levent UYSAL (İstanbul Nişantaşı Üniversitesi Mütevelli Heyet Başkanı) çok önemli bir hususu dile getirmekte ülke olarak yaşamkata olduğumuz doğal afette milletinin ve devletinin yanında olduğunu  göstererek insani bir görev üstlenmektedir., Hocam çok iyi düşünmüşsünüz ama kyk yurtları boşaltıldı ve öğrencilerin kalacağı yer imkanı yok, Örgün eğitime devam edilmeli OKULLARIMIZI AÇIN, Tüm üniversiteler bu şekilde davransa eğitime ara verilmeden devam edilir. İyi ki varsın @LeventUysalNEV, @fatmadilmacc, Arkadas sİN mesajlarından bıktık devamlı neden mesaj atıyorsunuz insanları rahatsız ediyorsunu neden ben seni akşamın sarınsaa mesaj atsam olurmu yapmayın atmayın yeter ya, 🙏🏻🙏🏻❤️, Kral ya 👑, Çocuklar çalışıyor çabalıyor bir üniversite ye gidiyor ve çoğu sistemin Çin de kayboluyor cinsellik para hırsı gençlikte herşeyin önüne geçmiş durumda cafe ler barlar  birileri zengin oluyor ülke değerleri ni insanlarını kaybediyor, Hocam yüz yüze eğitimi göreceğiz?, Teşekkürler hocam 😊, Tebrikler sayın hocam ve çok teşekkürler., online eğitim istiyoruz akrabalarımız vefat etti yurtlar depremzedelere açıldı kalacak yerimiz yok anlamıyor musunuz, Uzaktan eğitimden ziyade afet bölgelerinde yaşayan veya afetten etkilenen öğrencilere koşulsuz yatay geçiş hakkı tanınmalı. Örgün eğitimden taviz verilmemeli., Yy, @YuksekogretimK @erolozvar, #YurtlarÇözümDeğil tagına destek olarak yurttan çıkartılmak istenen kişilere destek olabilirsiniz. Deprem bölgesindeki kişiler gelip eşyalarını alamıyor. Otellere yerleştirseler depremzedeler için daha iyi olur hem daha konforlu, @cuneytozdemir, isteyen açabiliyormu tam anlamadık, 🇹🇷, Nişantaşı Üniversitesi duyarlılığını @LeventUysalNEV hocam nezdinde göstermiş.İyiki varsınız @LeventUysalNEV, 🇹🇷🇹🇷🇹🇷, İhtiyacın boyutları geniş olmakla birlikte; Bu durum yurtları kullanmak için eğitime uzaktan devam gibi amaca uygun olmayan çözümden daha iyi., 11 üniversite hangileri hocam?, #uzaktan, İyi ki Nişantaşılıyım 👏👏, çok saçma, Evet çok haklısınız eğitim durmamalı ama lütfen eğitilen insanlara bir bakın düşüncelerini fikirleri ni geçtim kendi bilecekleri bir http://iştir.biz eğitim sistemi ni değiştirmeli insan yetiştirmeliyiz, Yaptığınız şeyi Sivil itaatsizlik olarak yorumluyor, tamamen siyasi olduğunu düşünüyorum. Depremden etkilenen öğrenci sayısı hakkında zerre fikriniz olmadan her zaman ki gibi sadece elitlere yönelik bir propaganda çalışması. Kaç fakültenize kaç öğrenci yerleştireceksiniz ki?, Yer imkanı olmayan misafir edilebilir dönem sonuna kadar yardımlaşma hani diyorduk evimizin 1 odasını paylaşabiliriz üniversite yakın olan semtler ilçeler teyit aile okulda #Barınma #Üniversite #İstanbul diğer illerde olabilir naçizane fikir öneri #destek #yardımlaşma #Türkiye",41
Diyaliz Bölümü mezunumuz Yıldız Çağan’ı kaybetmenin derin üzüntüsü içerisindeyiz. Öğrencimize Allah’tan rahmet; başta kederli ailesi olmak üzere tüm sevenlerine başsağlığı dileriz.,💔💔💔,1
Mimarlık Bölümü mezunumuz Burak Malkar’ı kaybetmenin derin üzüntüsü içerisindeyiz. Öğrencimize Allah’tan rahmet; başta kederli ailesi olmak üzere tüm sevenlerine başsağlığı dileriz.,,0
"Relying on the postponement of educational facilities by the Council of Higher Education ( YÖK), 2022-2023 Academic Year Fall Semestre Resit, English Proficiency and TOMER exams will be carried out at a later date.",,0
"2022-2023 akademik yılı güz dönemi Bütünleme, İngilizce Hazırlık ve TÖMER sınavları ileri bir tarihte yapılacaktır.",,0
"Sizlerin desteğiyle hazırlanan yardım kolileri, üniversitemiz Sağlık Bölümü öğrencileri ve akademisyenleri, afet bölgelerine ulaşmak için yola çıktı. #afad #yanınızdayız","👏🏽, ❤️",2
#AFAD #antakyahatay #hatayyardimbekliyor #AFADhatay #deprem,,0
Yaralarımızı hep birlikte sarıyoruz! Tüm gün boyunca yardımlarınızı bekliyoruz. 👉Maslak Ağaoğlu 1453 sitesi İstanbul Nişantaşı Üniversitesi G3 Otoparkına getirebilirsiniz. 👉05342345610 numarasından ulaşabilirsiniz.,,0
Bebek Maması Bebek Bezi Elektrik Malzemesi Piknik Tüpü Işıldak Powerbank Şarj Aleti Uzatma Kablosu Soba Küçük Jeneratör,,0
#acildeprem #AFAD #seferberlik #yardımkampanyası,,0
#AFAD #AFADhatay #deprem #hatayyardimbekliyor #HelpTurkey,"@AFADBaskanlik @DepremDairesi @AFADTurkiye @ahbap #deprem, #hatayyardimbekliyor #hataydeprem #hataydepremi #HatayıKaderineTerkEtme #halukleventacil #acildeprem #sondakikadeprem",2
#AFADhatay #deprem #seferberlik #hatayyardimbekliyor,"@AFADBaskanlik @AFADHatay @BabalaTv @OguzhanUgur @haluklevent, @AFADBaskanlik @AFADBaskanlik @AFADBaskanlik @AFADBaskanlik @AFADBaskanlik",2
#deprem #afaddeprem #ADIYAMAN #AdıyamanYardımBekliyor #adiyamandeprem #seferberlik,,0
We need your support in order to overcome the hard days and help the casualty recover soon. #PrayForTurkey,,0
"Bu acı günleri atlatabilmek, yaraları sarabilmek için desteklerinizi bekliyoruz. #gecmisolsunturkiye",,0
Nişantaşı Eğitim Vakfı olarak depremzede vatandaşlarımızın yanındayız. Yaraları birlikte saracağız. #gecmisolsunturkiye #yaralarısaracagız,,0
#afadkahramanmaraş #AFAD,Cevir,1
